Data,Produto,Inicial,Vendidos,Quebra,% Quebra,Estoque Final,Filial,Lucro Bruto
2025-03-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-03-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-03-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,10.0,11.0,52.38,,1,-14.049999999999995
2025-03-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-03-01,BAGUETE DE FRANGO,,3.0,8.0,72.73,,1,-21.51
2025-03-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-03-01,FAGOTTO DE CALABRESA COM CHEDDAR,,20.0,2.0,9.09,,1,77.92000000000002
2025-03-01,FAGOTTO DE CARNE,,19.0,10.0,34.48,,1,29.15000000000001
2025-03-01,FOLHADO DE PRESUNTO E QUEIJO,,3.0,4.0,57.14,,1,-4.68
2025-03-01,CACHORRO QUENTE DE FORNO 160G,,9.0,4.0,30.77,,1,19.349999999999994
2025-03-01,PAO DE QUEIJO SUPER LANCHE,,362.0,110.0,23.31,,1,582.2600000000002
2025-03-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-03-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-03-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,EMPANADA DE FRANGO 140G,,10.0,23.0,69.7,,1,-43.75
2025-03-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-03-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,COXINHA DE FRANGO COM REQUEIJAO,,0.0,2.0,100.0,,1,-8.5
2025-03-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-03-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,13.0,6.0,31.58,,1,41.71000000000001
2025-03-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT CRCTE DOCE DE LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-02-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-02-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-02-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-02-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,11.0,6.0,35.29,,1,14.739999999999997
2025-02-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-02-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-02-01,BAGUETE DE FRANGO,,4.0,7.0,63.64,,1,-11.519999999999996
2025-02-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-02-01,FAGOTTO DE CALABRESA COM CHEDDAR,,16.0,4.0,20.0,,1,49.040000000000006
2025-02-01,FAGOTTO DE CARNE,,15.0,8.0,34.78,,1,22.43
2025-02-01,FOLHADO DE PRESUNTO E QUEIJO,,7.0,5.0,41.67,,1,10.53
2025-02-01,CACHORRO QUENTE DE FORNO 160G,,11.0,8.0,42.11,,1,4.609999999999999
2025-02-01,PAO DE QUEIJO SUPER LANCHE,,254.0,120.0,32.09,,1,313.9200000000001
2025-02-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
